Question,Filename,Section,Image Description,Style Notes
Q15,pipe-flow.png,Mechanical,"A horizontal pipe that narrows from 2-inch diameter on the left to 1-inch diameter on the right through a smooth tapered transition section. Show blue water flowing left to right with small flow arrows. Dimension lines showing both diameters.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q16,torque-wrench.png,Mechanical,"A torque wrench gripping a hex bolt from the side view. Show the handle length labeled 1.5 feet, a hand or force arrow pushing down at the end of the handle labeled 80 lbs. Show the bolt at the wrench head.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q17,beam-stress.png,Mechanical,"Horizontal I-beam supported at both ends by triangle supports. Heavy downward force arrow pushing at the center. Top surface of beam labeled COMPRESSION with squeeze arrows, bottom surface labeled TENSION with stretch arrows. Beam slightly bowed in the middle.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q18,ammeter-question.png,Mechanical,"Simple electrical circuit with a battery on the left, a resistor (zigzag) on top, and a circular ammeter gauge (labeled A with a needle) wired in series on the right side. Show current flow arrows. The ammeter needle should point to a reading.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q19,grade-trailer.png,Mechanical,"Side view of a pickup truck towing a 3000-lb trailer (box trailer) up a hill. The hill slope is labeled 10% grade. Show the incline angle with a right triangle showing rise over run. Ground line and slope clearly visible.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q20,valve-types.png,Mechanical,"Four valve cross-section diagrams side by side: (1) ball valve with sphere containing a through-hole, (2) gate valve with rising wedge/gate, (3) globe valve with disc on stem against seat, (4) check valve with hinged flapper. Show internal flow paths.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q21,gear-question.png,Mechanical,"Two meshing spur gears: small Gear A (20 teeth) on the left driving large Gear B (40 teeth) on the right. Show clockwise rotation arrow on Gear A and counterclockwise rotation arrow on Gear B. Teeth clearly interlocking.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q22,lever-question.png,Mechanical,"A lever balanced on a triangular fulcrum. A 50 kg weight block on the left side, 2 meters from fulcrum (show dimension line). A question-mark downward force arrow on the right side, 6 meters from fulcrum (show dimension line).","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q23,pressure-question.png,Mechanical,"Two horizontal cylindrical pressure tanks (with domed ends) connected by a pipe with a valve in the middle. Tank A on left has a pressure gauge reading high (100 PSI). Tank B on right has a gauge reading low (30 PSI). Valve shown in open position colored gold.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q24,beam-question.png,Mechanical,"A horizontal steel I-beam supported by three vertical columns labeled A, B, and C from left to right. Column C (rightmost) is shown being removed - draw it faded or dashed. A 2000-lb downward force arrow sits on the beam directly above where column C was.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q25,pulley-question.png,Mechanical,"Two pulleys connected by a belt. Large Pulley A on the left rotating slowly (show slow rotation arrow), small Pulley B on the right with a question mark for its speed. Belt wrapped around both. Show relative size difference clearly.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q50,helicopter-descent.png,Numerical,"Side view of a military helicopter (like a Black Hawk) at 4500 feet altitude with a dashed diagonal descent line angling down to 1500 feet altitude. Show horizontal altitude marker lines at both heights. Ground/terrain at the bottom. Sky gradient above.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q56,spatial-q1.png,Spatial,"A sequence of 4 geometric shapes showing a rotation pattern: each shape is the same figure rotated 90 degrees clockwise from the previous one. The 5th position shows a question mark. Use a simple L-shape or arrow shape so the rotation is obvious.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q57,cube-painted.png,Spatial,"A 3x3x3 cube (like a Rubik's cube) with all outer faces painted blue. Show one corner cube piece pulled slightly away from the main cube to reveal that it has 3 painted blue faces. Show the grid lines on the cube faces.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Blue (#3a82b8) painted faces. 400x180px PNG. No text overlay needed."
Q58,cross-fold.png,Spatial,"A flat cross-shaped piece of cardboard (an unfolded open-top box net) with dotted fold lines at each junction. Next to it show a curved arrow pointing to the resulting open-top box after folding. Show both the flat net and the 3D box.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q59,mirror-letter.png,Spatial,"The lowercase letter 'b' displayed on the left side in large navy blue font. A vertical dashed mirror line in the center. A large question mark on the right side where the mirror reflection would appear. Keep it simple and clear.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q60,compass-turns.png,Spatial,"A compass rose showing N/S/E/W directions. A dotted path showing a sequence of turns: start facing North, turn 90 degrees right (now facing East), turn 180 degrees (now facing West), turn 90 degrees left (now facing South). Number each step 1-2-3.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q61,triangular-prism.png,Spatial,"A 3D triangular prism (like a Toblerone box shape) shown in perspective view. Visible edges drawn as solid navy lines, hidden/back edges drawn as dashed lines. Show the triangular faces on both ends and rectangular faces on the sides.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q62,spatial-q7.png,Spatial,"Three spur gears in a horizontal line, each meshing with the next. Left gear (largest) has a clockwise rotation arrow. Middle gear (medium) meshes with both. Right gear (smallest) has a question mark for its rotation direction. Show teeth interlocking.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q63,paper-fold-punch.png,Spatial,"Three sequential panels left to right: (1) a flat square piece of paper, (2) the paper folded in half vertically with a fold arrow, (3) a hole punched through the center of the folded paper shown as a black dot. A question mark indicating 'what does it look like unfolded?'","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q65,clock-mirror.png,Spatial,"A round analog clock face on the left showing exactly 3:00 (hour hand on 3, minute hand on 12). A vertical dashed mirror line in the center. A question mark on the right side where the mirror reflection would appear.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q68,cube-edges.png,Spatial,"A wireframe cube drawn in 3D perspective - all 12 edges visible as navy blue lines. No filled faces, just the wireframe outline. Front face edges slightly bolder than back face edges to show depth. Clean geometric look.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. 400x180px PNG. No text overlay needed."
Q69,rotate-N.png,Spatial,"The capital letter 'N' displayed large on the left in navy blue. A curved clockwise arrow showing 90-degree rotation. A question mark on the right where the rotated letter would appear. Simple and clear layout.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
